,Configuration,R² Score
148,Ablate Center Weight,0.7990105599728456
149,Ablate Center Weight,0.807157219333839
150,Ablate Center Weight,0.7952473477080122
151,Ablate Center Weight,0.79185742874327
152,Ablate Center Weight,0.8001543853281181
153,Ablate Center Weight,0.7965865872821541
154,Ablate Center Weight,0.8091791320321087
155,Ablate Center Weight,0.8045594541480499
156,Ablate Center Weight,0.818176566210759
157,Ablate Center Weight,0.8126894121827768
158,Ablate Center Weight,0.7880346929125949
159,Ablate Center Weight,0.799558152838699
160,Ablate Center Weight,0.7979524547945067
161,Ablate Center Weight,0.814994000123068
162,Ablate Center Weight,0.8041120664456134
163,Ablate Center Weight,0.8133318019945605
164,Ablate Center Weight,0.8176197899453653
165,Ablate Center Weight,0.7998787440031949
166,Ablate Center Weight,0.8150043019043831
167,Ablate Center Weight,0.8224211891955668
168,Ablate Center Weight,0.800450034118435
169,Ablate Center Weight,0.7987424892575078
170,Ablate Center Weight,0.8189684684520192
171,Ablate Center Weight,0.7943813710692936
172,Ablate Center Weight,0.8325465435258436
173,Ablate Center Weight,0.8058795719448173
174,Ablate Center Weight,0.8030814333787544
175,Ablate Center Weight,0.8073756548308055
176,Ablate Center Weight,0.8208438377091576
177,Ablate Center Weight,0.8169007130749543
178,Ablate Center Weight,0.8180621410531955
179,Ablate Center Weight,0.8334642526555572
180,Ablate Center Weight,0.807948923340731
181,Ablate Center Weight,0.7915456998842859
182,Ablate Center Weight,0.7865008498165847
183,Ablate Center Weight,0.8298806466225941
184,Ablate Center Weight,0.8161214199279987
185,Ablate Center Weight,0.8150349140677378
186,Ablate Center Weight,0.7928698876032636
187,Ablate Center Weight,0.7888596863951779
188,Ablate Center Weight,0.8194002494983861
189,Ablate Center Weight,0.7981192011943531
190,Ablate Center Weight,0.8122779301162504
191,Ablate Center Weight,0.8016077485865102
192,Ablate Center Weight,0.8135242090359732
193,Ablate Center Weight,0.7915343066823205
194,Ablate Center Weight,0.7898541547961326
195,Ablate Center Weight,0.8030940429719249
196,Ablate Center Weight,0.7900690298464701
197,Ablate Center Weight,0.8043119106737378
198,Ablate Center Weight,0.8064747299272769
199,Ablate Center Weight,0.822857036866131
200,Ablate Block Weight,0.5095261839894919
201,Ablate Block Weight,0.5134209464754902
202,Ablate Block Weight,0.5085392612659524
203,Ablate Block Weight,0.4936043182776327
204,Ablate Block Weight,0.5183728093876327
205,Ablate Block Weight,0.519201161242262
206,Ablate Block Weight,0.5149562884362415
207,Ablate Block Weight,0.5271683622882823
208,Ablate Block Weight,0.5055758126069734
209,Ablate Block Weight,0.5130905207003296
210,Ablate Block Weight,0.503993926842509
211,Ablate Block Weight,0.4852145909541861
212,Ablate Block Weight,0.5058661236791131
213,Ablate Block Weight,0.512700264006529
214,Ablate Block Weight,0.5069933925062591
215,Ablate Block Weight,0.5037630450963222
216,Ablate Block Weight,0.5297667204256368
217,Ablate Block Weight,0.5029877969782028
218,Ablate Block Weight,0.5171894960084886
219,Ablate Block Weight,0.5056270190533185
220,Ablate Block Weight,0.5004297279473973
221,Ablate Block Weight,0.5041782209323991
222,Ablate Block Weight,0.5273110743863192
223,Ablate Block Weight,0.5218096867745295
224,Ablate Block Weight,0.5083176939039148
225,Ablate Block Weight,0.49750878742284127
226,Ablate Block Weight,0.5244849496974244
227,Ablate Block Weight,0.49343125768013957
228,Ablate Block Weight,0.5033440697131158
229,Ablate Block Weight,0.5101899494363639
230,Ablate Block Weight,0.5021180942785928
231,Ablate Block Weight,0.5001748751872361
232,Ablate Block Weight,0.5271937747551663
233,Ablate Block Weight,0.5115263247555842
234,Ablate Block Weight,0.5041451850531906
235,Ablate Block Weight,0.5099778061624216
236,Ablate Block Weight,0.5011833901249366
237,Ablate Block Weight,0.4888028524856268
238,Ablate Block Weight,0.5000770502299481
239,Ablate Block Weight,0.5221568200494782
240,Ablate Block Weight,0.4980124360058738
241,Ablate Block Weight,0.5008203106807271
242,Ablate Block Weight,0.5119424111487415
243,Ablate Block Weight,0.5187027097585406
244,Ablate Block Weight,0.4975215608708068
245,Ablate Block Weight,0.49312099660765896
246,Ablate Block Weight,0.4911462695829828
247,Ablate Block Weight,0.5045949073274826
248,Ablate Block Weight,0.5026440556260455
249,Ablate Block Weight,0.5200551943526933
250,Ablate Block Weight,0.5230946691669407
251,Ablate Block Weight,0.49795586784377227
252,Ablate Block Weight,0.5202675560520204
253,Ablate Block Weight,0.5133359312044593
254,Ablate Block Weight,0.516671935301921
255,Ablate Block Weight,0.5246940756712211
256,Ablate Block Weight,0.5085634745217126
257,Ablate Block Weight,0.518552103441193
258,Ablate Block Weight,0.517948866005677
259,Ablate Block Weight,0.4962407080306002
260,Ablate Block Weight,0.49710520483725634
261,Ablate Block Weight,0.5117561487398731
262,Ablate Block Weight,0.5166005348505055
263,Ablate Block Weight,0.5193657686621277
264,Ablate Block Weight,0.5217851168752151
265,Ablate Block Weight,0.5202072182496358
266,Ablate Block Weight,0.5232251616855562
267,Ablate Block Weight,0.5061879775380049
268,Ablate Block Weight,0.5057075171228376
